Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Acute_Fatal_70	18.80979707980524	122423	14.43	325767.0					
Acute_Fatal_70._STARpass1			14.51	327678.0					
Acute_Fatal_70_1					80.45313691357052	53.0	138.3991203554012	30.0	2257730.0
Acute_Fatal_70_2					56.34533658148173	52.0	121.73990468302233	40.0	2257730.0
Acute_Fatal_73	52.68773368188573	1260083	3.52	1195878.0					
Acute_Fatal_73._STARpass1			3.38	1147525.0					
Acute_Fatal_73_1					96.05682720469778	57.0	119.47803366240635	40.0	33973210.0
Acute_Fatal_73_2					94.71986132940742	56.0	118.6892903555478	30.0	33973210.0
Acute_Fatal_76	47.507517942406395	913285	4.67	961292.0					
Acute_Fatal_76._STARpass1			4.61	949378.0					
Acute_Fatal_76_1					93.67612878956436	60.0	116.07839353889297	40.0	20590651.0
Acute_Fatal_76_2					93.80228754630818	60.0	115.4787922926769	40.0	20590651.0
Acute_Fatal_86	49.04482942708876	2001827	4.93	2041037.0					
Acute_Fatal_86._STARpass1			4.79	1983063.0					
Acute_Fatal_86_1					96.49290677648112	57.0	120.84409944024041	30.0	41361686.0
Acute_Fatal_86_2					95.03867679041046	56.0	119.94849121962775	30.0	41361686.0
Acute_Fatal_87	8.99088284303178	718706	27.47	3997442.0					
Acute_Fatal_87._STARpass1			27.44	3993445.0					
Acute_Fatal_87_1					81.8477675016104	52.0	118.77815679162855	30.0	14553851.0
Acute_Fatal_87_2					81.68548297757536	51.0	117.50288621204106	20.0	14553851.0
Acute_Fatal_92	42.72429573601032	1413362	6.14	1654194.0					
Acute_Fatal_92._STARpass1			5.94	1599759.0					
Acute_Fatal_92_1					93.03122547853262	57.0	119.70800090176441	40.0	26933864.0
Acute_Fatal_92_2					92.22179479119606	56.0	119.03040625734207	30.0	26933864.0
Acute_Fatal_93	32.30306653342753	2912564	18.23	4508477.0					
Acute_Fatal_93._STARpass1			18.35	4539229.0					
Acute_Fatal_93_1					89.66608754852645	54.0	120.57392838416494	30.0	24737853.0
Acute_Fatal_93_2					87.6542719594201	53.0	119.9114325725842	30.0	24737853.0
Acute_Fatal_96	13.90145669168493	115835	1.16	416645.0					
Acute_Fatal_96._STARpass1			1.16	416758.0					
Acute_Fatal_96_1					91.5241813248482	50.0	121.00763208800956	20.0	35974821.0
Acute_Fatal_96_2					88.58347747858811	51.0	120.57523505120429	20.0	35974821.0
Acute_Fatal_97	49.339380610905806	1177172	6.5	1193012.0					
Acute_Fatal_97._STARpass1			6.36	1168446.0					
Acute_Fatal_97_1					92.8672091125628	55.0	110.57376306230228	30.0	18360565.0
Acute_Fatal_97_2					91.93407943129353	54.0	109.86397945814848	40.0	18360565.0
Acute_Fatal_99	58.479090453026096	1867428	10.93	1596798.0					
Acute_Fatal_99._STARpass1			10.78	1575819.0					
Acute_Fatal_99_1					88.39355480000643	52.0	110.17746223061383	30.0	14614614.0
Acute_Fatal_99_2					87.93631979755177	52.0	109.55331040559813	40.0	14614614.0
Acute_Survivor_1	37.72382386730445	3379213	18.67	4479342.0					
Acute_Survivor_1._STARpass1			18.79	4507796.0					
Acute_Survivor_11	30.555933320595702	4372342	17.72	7155237.0					
Acute_Survivor_11._STARpass1			18.09	7305941.0					
Acute_Survivor_11_1					89.36804615213441	53.0	114.71916154798433	30.0	40383277.0
Acute_Survivor_11_2					88.13568418921417	53.0	114.07388979354003	40.0	40383277.0
Acute_Survivor_12	30.22699498697849	1332201	21.4	2203939.0					
Acute_Survivor_12._STARpass1			21.85	2250008.0					
Acute_Survivor_12_1					84.21982002910481	53.0	117.11724655184904	30.0	10298418.0
